2.68125,2.74375,3.1,3.1,3.125,3.125,3.125,3.125,3.125,3.125,3.125,3.125,3.125,3.125,3.19375,3.19375,3.19375,3.19375,3.19375,3.19375,3.19375
2.49375,2.64375,2.86875,3.0875,3.0875,3.0875,3.0875,3.20625,3.20625,3.41875,3.41875,3.41875,3.41875,3.41875,3.41875,3.41875,3.41875,3.41875,3.41875,3.41875,3.41875
2.6875,2.75,2.75,2.75,2.775,2.775,2.9,2.9,2.9,2.9,2.9,2.9,3.0375,3.0375,3.0375,3.0375,3.0375,3.0375,3.0375,3.0375,3.0375
2.5125,2.80625,2.9375,2.9375,2.9375,2.9375,2.9875,3.04375,3.04375,3.04375,3.04375,3.04375,3.04375,3.04375,3.15625,3.15625,3.15625,3.15625,3.15625,3.15625,3.15625
2.40625,2.5875,2.925,2.925,3.025,3.025,3.025,3.075,3.075,3.075,3.075,3.15,3.15,3.15,3.15,3.20625,3.20625,3.20625,3.25625,3.25625,3.25625
2.46875,2.9875,2.9875,2.9875,3.04375,3.04375,3.04375,3.04375,3.1875,3.1875,3.1875,3.1875,3.1875,3.1875,3.1875,3.1875,3.1875,3.1875,3.1875,3.2125,3.2125
2.50625,2.85,3.06875,3.06875,3.06875,3.06875,3.06875,3.06875,3.06875,3.06875,3.06875,3.06875,3.06875,3.06875,3.06875,3.06875,3.06875,3.06875,3.06875,3.06875,3.06875
2.525,2.6875,2.8125,2.99375,3.06875,3.06875,3.06875,3.06875,3.06875,3.06875,3.075,3.075,3.075,3.075,3.075,3.075,3.075,3.075,3.075,3.13125,3.13125
2.5625,2.73125,2.73125,2.8,2.8625,2.8625,2.8625,2.8625,2.8625,2.8625,2.8625,2.8625,2.8625,2.8625,2.8625,2.8625,2.8625,2.8625,2.95,2.95,2.95
2.6625,2.75625,3.16875,3.16875,3.16875,3.16875,3.16875,3.16875,3.16875,3.16875,3.16875,3.16875,3.16875,3.16875,3.16875,3.16875,3.16875,3.16875,3.16875,3.16875,3.16875
